id_pesan,id_pelanggan,nama_pelanggan,kota,negara,id_produk,nama_produk,kategori_produk,harga,jumlah_transaksi,diskon,status_diskon,tanggal_pesan,tahun,bulan,kode_bulan,tanggal,hari,estimasi_tiba,tanggal_tiba,lama_pengiriman,status_pengiriman,id_shipper,nama_jasa_pengiriman,revenue
10248,VINET,Vins et alcools Chevalier,Reims,France,11,Queso Cabrales,Dairy Products,14.0,12,0.0,No Discount,1996-07-04,1996,July,7,4,Thursday,1996-08-01,1996-07-16,12,Tepat Waktu,3,Federal Shipping,168.0
10248,VINET,Vins et alcools Chevalier,Reims,France,42,Singaporean Hokkien Fried Mee,Grains/Cereals,9.8,10,0.0,No Discount,1996-07-04,1996,July,7,4,Thursday,1996-08-01,1996-07-16,12,Tepat Waktu,3,Federal Shipping,98.0
10248,VINET,Vins et alcools Chevalier,Reims,France,72,Mozzarella di Giovanni,Dairy Products,34.8,5,0.0,No Discount,1996-07-04,1996,July,7,4,Thursday,1996-08-01,1996-07-16,12,Tepat Waktu,3,Federal Shipping,174.0
10249,TOMSP,Toms Spezialitäten,Münster,Germany,14,Tofu,Produce,18.6,9,0.0,No Discount,1996-07-05,1996,July,7,5,Friday,1996-08-16,1996-07-10,5,Tepat Waktu,1,Speedy Express,167.4
10249,TOMSP,Toms Spezialitäten,Münster,Germany,51,Manjimup Dried Apples,Produce,42.4,40,0.0,No Discount,1996-07-05,1996,July,7,5,Friday,1996-08-16,1996-07-10,5,Tepat Waktu,1,Speedy Express,1696.0
10250,HANAR,Hanari Carnes,Rio de Janeiro,Brazil,41,Jack's New England Clam Chowder,Seafood,7.7,10,0.0,No Discount,1996-07-08,1996,July,7,8,Monday,1996-08-05,1996-07-12,4,Tepat Waktu,2,United Package,77.0
10250,HANAR,Hanari Carnes,Rio de Janeiro,Brazil,51,Manjimup Dried Apples,Produce,42.4,35,0.15,Discount,1996-07-08,1996,July,7,8,Monday,1996-08-05,1996-07-12,4,Tepat Waktu,2,United Package,1261.3999999999999
10250,HANAR,Hanari Carnes,Rio de Janeiro,Brazil,65,Louisiana Fiery Hot Pepper Sauce,Condiments,16.8,15,0.15,Discount,1996-07-08,1996,July,7,8,Monday,1996-08-05,1996-07-12,4,Tepat Waktu,2,United Package,214.2
10251,VICTE,Victuailles en stock,Lyon,France,22,Gustaf's Knäckebröd,Grains/Cereals,16.8,6,0.05,Discount,1996-07-08,1996,July,7,8,Monday,1996-08-05,1996-07-15,7,Tepat Waktu,1,Speedy Express,95.76
10251,VICTE,Victuailles en stock,Lyon,France,57,Ravioli Angelo,Grains/Cereals,15.6,15,0.05,Discount,1996-07-08,1996,July,7,8,Monday,1996-08-05,1996-07-15,7,Tepat Waktu,1,Speedy Express,222.29999999999998
